chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation,node
PT2PT,SPSC,2,1,1,10,2,Consumer,0,128,128,0.000013549,0.008798448,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,128,128,0.000013549,0.008798446,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,256,256,0.000024917,0.009568511,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,256,256,0.000024917,0.009568507,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,512,512,0.000048909,0.009749517,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,512,512,0.000048909,0.009749517,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,1024,1024,0.000094745,0.010065727,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,1024,1024,0.000094745,0.010065727,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,2048,2048,0.000187174,0.010190233,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,2048,2048,0.000187174,0.010190230,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,4096,4096,0.000372212,0.010248725,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,4096,4096,0.000372212,0.010248726,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,8192,8192,0.000748433,0.010193820,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,8192,8192,0.000748434,0.010193816,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,16384,16384,0.001460705,0.010446180,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,16384,16384,0.001460706,0.010446176,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,32768,32768,0.002887380,0.010569299,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,32768,32768,0.002887381,0.010569294,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,65536,65536,0.005610706,0.010878338,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,65536,65536,0.005610707,0.010878336,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,131072,131072,0.011102233,0.010995114,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,131072,131072,0.011102233,0.010995114,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,262144,262144,0.022216305,0.010989254,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,262144,262144,0.022216297,0.010989258,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,524288,524288,0.044387033,0.011000538,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,524288,524288,0.044387021,0.011000541,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,1048576,1048576,0.088868815,0.010988810,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,1048576,1048576,0.088868849,0.010988806,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,2097152,2097152,0.177640211,0.010994836,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,2097152,2097152,0.177640270,0.010994832,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,4194304,4194304,0.355319256,0.010993634,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,4194304,4194304,0.355319173,0.010993637,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Consumer,0,8388608,8388608,0.704973382,0.011081979,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,2,Producer,1,8388608,8388608,0.704973625,0.011081975,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,4,4,0.000007031,0.000529853,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,4,4,0.000007031,0.000529853,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,8,8,0.000003474,0.002144484,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,8,8,0.000003474,0.002144484,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,16,16,0.000003353,0.004443598,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,16,16,0.000003353,0.004443596,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,32,32,0.000004414,0.006752537,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,32,32,0.000004413,0.006752538,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,64,64,0.000008625,0.006910283,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,64,64,0.000008625,0.006910285,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,128,128,0.000012738,0.009358483,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,128,128,0.000012738,0.009358480,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,256,256,0.000024650,0.009672310,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,256,256,0.000024650,0.009672310,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,512,512,0.000047705,0.009995622,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,512,512,0.000047705,0.009995625,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,1024,1024,0.000092637,0.010294690,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,1024,1024,0.000092638,0.010294687,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,2048,2048,0.000183783,0.010378248,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,2048,2048,0.000183783,0.010378247,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,4096,4096,0.000366900,0.010397109,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,4096,4096,0.000366900,0.010397107,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,8192,8192,0.000731023,0.010436603,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,8192,8192,0.000731023,0.010436601,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,16384,16384,0.001450935,0.010516520,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,16384,16384,0.001450935,0.010516521,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,32768,32768,0.002854912,0.010689499,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,32768,32768,0.002854912,0.010689498,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
